product_title,price,ratings,colors,size,gender,timestamp
Hoodie 219,5671040.0,4.6,3,XL,Unisex,2025-05-11T17:17:02.612437
Pants 220,3357600.0,3.2,3,XXL,Men,2025-05-11T17:17:02.612437
Jacket 222,7438080.0,3.4,3,M,Unisex,2025-05-11T17:17:03.047305
Crewneck 223,952960.0,4.8,3,L,Men,2025-05-11T17:17:03.047305
T-shirt 224,3534560.0,4.5,3,XL,Women,2025-05-11T17:17:03.048304
Hoodie 225,5232800.0,3.5,3,XXL,Unisex,2025-05-11T17:17:03.048304
Outerwear 227,6742560.0,4.8,3,M,Women,2025-05-11T17:17:03.048304
Jacket 228,8076800.0,4.5,3,L,Unisex,2025-05-11T17:17:03.048304
Crewneck 229,3101920.0,4.9,3,XL,Men,2025-05-11T17:17:03.048304
T-shirt 230,7133280.0,4.5,3,XXL,Women,2025-05-11T17:17:03.048304
Pants 232,8327360.000000001,4.0,3,M,Men,2025-05-11T17:17:03.048304
Outerwear 233,847360.0,4.8,3,L,Women,2025-05-11T17:17:03.048304
Jacket 234,1159200.0,4.5,3,XL,Unisex,2025-05-11T17:17:03.048304
Crewneck 235,6560320.0,3.4,3,XXL,Men,2025-05-11T17:17:03.048304
T-shirt 236,5492320.0,3.9,3,S,Women,2025-05-11T17:17:03.048304
Hoodie 237,4743520.0,3.1,3,M,Unisex,2025-05-11T17:17:03.048304
Pants 238,8301920.0,3.8,3,L,Men,2025-05-11T17:17:03.048304
Outerwear 239,7934080.0,3.1,3,XL,Women,2025-05-11T17:17:03.048304
Jacket 240,7600000.0,3.8,3,XXL,Unisex,2025-05-11T17:17:03.048304
T-shirt 242,4833600.0,3.4,3,M,Women,2025-05-11T17:17:03.561222
Hoodie 243,3371680.0,3.1,3,L,Unisex,2025-05-11T17:17:03.561222
Pants 244,8116160.0,3.1,3,XL,Men,2025-05-11T17:17:03.561222
Outerwear 245,1451680.0,4.0,3,XXL,Women,2025-05-11T17:17:03.561222
Jacket 246,8735040.0,3.1,3,S,Unisex,2025-05-11T17:17:03.561222
Crewneck 247,8769120.0,3.0,3,M,Men,2025-05-11T17:17:03.561222
T-shirt 248,2280000.0,4.5,3,L,Women,2025-05-11T17:17:03.561222
Hoodie 249,2149440.0,4.2,3,XL,Unisex,2025-05-11T17:17:03.561222
Pants 250,4314240.0,3.1,3,XXL,Men,2025-05-11T17:17:03.561222
Jacket 252,8408480.0,3.2,3,M,Unisex,2025-05-11T17:17:03.561222
Crewneck 253,1854720.0,3.9,3,L,Men,2025-05-11T17:17:03.561222
T-shirt 254,5984160.0,3.9,3,XL,Women,2025-05-11T17:17:03.561222
Hoodie 255,3668000.0,4.1,3,XXL,Unisex,2025-05-11T17:17:03.561222
Outerwear 257,7073120.0,5.0,3,M,Women,2025-05-11T17:17:03.561222
Jacket 258,2080639.9999999998,4.7,3,L,Unisex,2025-05-11T17:17:03.561222
Crewneck 259,2275520.0,3.3,3,XL,Men,2025-05-11T17:17:03.561222
T-shirt 260,6271520.0,3.5,3,XXL,Women,2025-05-11T17:17:03.561222
Pants 262,1097760.0,3.4,3,M,Men,2025-05-11T17:17:04.049484
Outerwear 263,1878400.0,4.2,3,L,Women,2025-05-11T17:17:04.049484
Jacket 264,2063040.0,4.8,3,XL,Unisex,2025-05-11T17:17:04.049484
Crewneck 265,2483040.0,3.5,3,XXL,Men,2025-05-11T17:17:04.049484
T-shirt 266,4842080.0,4.6,3,S,Women,2025-05-11T17:17:04.050484
Hoodie 267,4086240.0,4.3,3,M,Unisex,2025-05-11T17:17:04.050484
Pants 268,5005120.0,3.6,3,L,Men,2025-05-11T17:17:04.050484
Outerwear 269,8073920.0,3.1,3,XL,Women,2025-05-11T17:17:04.050484
Jacket 270,2569120.0,4.2,3,XXL,Unisex,2025-05-11T17:17:04.050484
T-shirt 272,5811840.0,3.3,3,M,Women,2025-05-11T17:17:04.050484
Hoodie 273,5291360.0,4.9,3,L,Unisex,2025-05-11T17:17:04.050484
Pants 274,3669280.0,4.2,3,XL,Men,2025-05-11T17:17:04.050484
Outerwear 275,5575360.0,4.8,3,XXL,Women,2025-05-11T17:17:04.050484
Jacket 276,1013600.0,4.3,3,S,Unisex,2025-05-11T17:17:04.050484
Crewneck 277,2383680.0,4.7,3,M,Men,2025-05-11T17:17:04.050484
T-shirt 278,2087360.0000000002,3.8,3,L,Women,2025-05-11T17:17:04.050484
Hoodie 279,5592320.0,4.7,3,XL,Unisex,2025-05-11T17:17:04.050484
Pants 280,7501440.0,3.9,3,XXL,Men,2025-05-11T17:17:04.050484
Jacket 282,2227040.0,3.0,3,M,Unisex,2025-05-11T17:17:04.465251
Crewneck 283,6633120.0,3.2,3,L,Men,2025-05-11T17:17:04.465251
T-shirt 284,6568000.0,3.6,3,XL,Women,2025-05-11T17:17:04.465251
Hoodie 285,3009120.0,3.2,3,XXL,Unisex,2025-05-11T17:17:04.465251
Outerwear 287,5273600.0,3.7,3,M,Women,2025-05-11T17:17:04.465251
Jacket 288,3123040.0,4.1,3,L,Unisex,2025-05-11T17:17:04.465251
Crewneck 289,888000.0,4.0,3,XL,Men,2025-05-11T17:17:04.465251
T-shirt 290,6425120.0,4.2,3,XXL,Women,2025-05-11T17:17:04.465251
Pants 292,2384480.0,3.9,3,M,Men,2025-05-11T17:17:04.465251
Outerwear 293,1176160.0,4.5,3,L,Women,2025-05-11T17:17:04.465251
Jacket 294,5947200.0,3.8,3,XL,Unisex,2025-05-11T17:17:04.465251
Crewneck 295,7266720.0,4.9,3,XXL,Men,2025-05-11T17:17:04.465251
T-shirt 296,1172160.0,3.1,3,S,Women,2025-05-11T17:17:04.466245
Hoodie 297,7801120.0,3.6,3,M,Unisex,2025-05-11T17:17:04.466245
Pants 298,2426080.0,4.8,3,L,Men,2025-05-11T17:17:04.466245
Outerwear 299,1947840.0,4.3,3,XL,Women,2025-05-11T17:17:04.466245
Jacket 300,6408480.0,4.0,3,XXL,Unisex,2025-05-11T17:17:04.466245
T-shirt 302,5711200.0,3.2,3,M,Women,2025-05-11T17:17:04.788467
Hoodie 303,7974560.0,4.1,3,L,Unisex,2025-05-11T17:17:04.788467
Pants 304,7129760.0,3.4,3,XL,Men,2025-05-11T17:17:04.788467
Outerwear 305,6325440.0,4.5,3,XXL,Women,2025-05-11T17:17:04.788467
Jacket 306,7575040.0,4.2,3,S,Unisex,2025-05-11T17:17:04.789468
Crewneck 307,7735200.0,3.7,3,M,Men,2025-05-11T17:17:04.789468
T-shirt 308,4086080.0,4.1,3,L,Women,2025-05-11T17:17:04.789468
Hoodie 309,3953120.0,4.8,3,XL,Unisex,2025-05-11T17:17:04.789468
Pants 310,6329280.0,4.7,3,XXL,Men,2025-05-11T17:17:04.789468
Jacket 312,7267040.0,3.8,3,M,Unisex,2025-05-11T17:17:04.789468
Crewneck 313,1948320.0,3.1,3,L,Men,2025-05-11T17:17:04.789468
T-shirt 314,6017120.0,3.2,3,XL,Women,2025-05-11T17:17:04.789468
Hoodie 315,7022880.0,3.1,3,XXL,Unisex,2025-05-11T17:17:04.789468
Outerwear 317,5259040.0,3.3,3,M,Women,2025-05-11T17:17:04.789468
Jacket 318,5667200.0,3.7,3,L,Unisex,2025-05-11T17:17:04.789468
Crewneck 319,3085920.0,3.3,3,XL,Men,2025-05-11T17:17:04.789468
T-shirt 320,829440.0,3.3,3,XXL,Women,2025-05-11T17:17:04.789468
Pants 322,7810400.0,3.2,3,M,Men,2025-05-11T17:17:05.248906
Outerwear 323,8468000.0,3.1,3,L,Women,2025-05-11T17:17:05.248906
Jacket 324,6082720.0,3.3,3,XL,Unisex,2025-05-11T17:17:05.248906
Crewneck 325,3001760.0,3.4,3,XXL,Men,2025-05-11T17:17:05.248906
T-shirt 326,4519360.0,4.9,3,S,Women,2025-05-11T17:17:05.248906
Hoodie 327,6641440.0,4.4,3,M,Unisex,2025-05-11T17:17:05.248906
Pants 328,5732960.0,4.5,3,L,Men,2025-05-11T17:17:05.248906
Outerwear 329,6724160.0,4.7,3,XL,Women,2025-05-11T17:17:05.248906
Jacket 330,1591200.0,4.3,3,XXL,Unisex,2025-05-11T17:17:05.248906
T-shirt 332,2335680.0,3.4,3,M,Women,2025-05-11T17:17:05.248906
Hoodie 333,1746080.0,4.8,3,L,Unisex,2025-05-11T17:17:05.248906
Pants 334,2409440.0,3.8,3,XL,Men,2025-05-11T17:17:05.248906
Outerwear 335,2826720.0,3.0,3,XXL,Women,2025-05-11T17:17:05.248906
Jacket 336,6237760.0,5.0,3,S,Unisex,2025-05-11T17:17:05.248906
Crewneck 337,8608800.0,4.3,3,M,Men,2025-05-11T17:17:05.248906
T-shirt 338,2883360.0,3.9,3,L,Women,2025-05-11T17:17:05.248906
Hoodie 339,4424800.0,4.9,3,XL,Unisex,2025-05-11T17:17:05.248906
Pants 340,5975200.0,4.3,3,XXL,Men,2025-05-11T17:17:05.248906
Jacket 342,1827680.0,4.8,3,M,Unisex,2025-05-11T17:17:05.685878
Crewneck 343,2279040.0,4.1,3,L,Men,2025-05-11T17:17:05.685878
T-shirt 344,3415680.0,4.5,3,XL,Women,2025-05-11T17:17:05.685878
Hoodie 345,7577440.0,3.3,3,XXL,Unisex,2025-05-11T17:17:05.685878
Outerwear 347,6986080.0,4.7,3,M,Women,2025-05-11T17:17:05.685878
Jacket 348,3195040.0,4.6,3,L,Unisex,2025-05-11T17:17:05.685878
Crewneck 349,6085600.0,3.5,3,XL,Men,2025-05-11T17:17:05.685878
T-shirt 350,8047680.0,5.0,3,XXL,Women,2025-05-11T17:17:05.685878
Pants 352,2838880.0,4.0,3,M,Men,2025-05-11T17:17:05.685878
Outerwear 353,961600.0,3.6,3,L,Women,2025-05-11T17:17:05.685878
Jacket 354,2294720.0,3.8,3,XL,Unisex,2025-05-11T17:17:05.685878
Crewneck 355,4246560.0,3.2,3,XXL,Men,2025-05-11T17:17:05.685878
T-shirt 356,7150080.0,4.3,3,S,Women,2025-05-11T17:17:05.685878
Hoodie 357,3739360.0,3.6,3,M,Unisex,2025-05-11T17:17:05.685878
Pants 358,8479520.0,3.9,3,L,Men,2025-05-11T17:17:05.685878
Outerwear 359,1696480.0,4.3,3,XL,Women,2025-05-11T17:17:05.685878
Jacket 360,8788320.0,4.8,3,XXL,Unisex,2025-05-11T17:17:05.685878
T-shirt 362,4776800.0,5.0,3,M,Women,2025-05-11T17:17:06.081419
Hoodie 363,1171360.0,3.2,3,L,Unisex,2025-05-11T17:17:06.082424
Pants 364,4972800.0,4.8,3,XL,Men,2025-05-11T17:17:06.082424
Outerwear 365,6956480.0,4.5,3,XXL,Women,2025-05-11T17:17:06.082424
Jacket 366,5854880.0,4.9,3,S,Unisex,2025-05-11T17:17:06.082424
Crewneck 367,8359360.000000001,4.9,3,M,Men,2025-05-11T17:17:06.082424
T-shirt 368,965120.0,3.2,3,L,Women,2025-05-11T17:17:06.082424
Hoodie 369,7204960.0,4.7,3,XL,Unisex,2025-05-11T17:17:06.082424
Pants 370,4559680.0,3.6,3,XXL,Men,2025-05-11T17:17:06.082424
Jacket 372,5052960.0,3.6,3,M,Unisex,2025-05-11T17:17:06.082424
Crewneck 373,2231040.0,3.6,3,L,Men,2025-05-11T17:17:06.082424
T-shirt 374,7697120.0,3.9,3,XL,Women,2025-05-11T17:17:06.082424
Hoodie 375,7027520.0,3.9,3,XXL,Unisex,2025-05-11T17:17:06.082424
Outerwear 377,6802080.0,4.8,3,M,Women,2025-05-11T17:17:06.082424
Jacket 378,3402400.0,3.6,3,L,Unisex,2025-05-11T17:17:06.082424
Crewneck 379,3963200.0,4.4,3,XL,Men,2025-05-11T17:17:06.082424
T-shirt 380,2547040.0,3.8,3,XXL,Women,2025-05-11T17:17:06.082424
Pants 382,1356160.0,4.4,3,M,Men,2025-05-11T17:17:06.627815
Outerwear 383,3431040.0,3.4,3,L,Women,2025-05-11T17:17:06.627815
Jacket 384,1452960.0,3.3,3,XL,Unisex,2025-05-11T17:17:06.628816
